City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Enid,US,2022-09-27 20:51:17,36.3956,-97.8784,93.36,22,0,14.97
266,Bagdarin,RU,2022-09-27 20:51:17,54.4333,113.6,24.1,70,43,2.57
267,Morrope,PE,2022-09-27 20:51:18,-6.5417,-80.0111,68.11,64,27,18.07
268,Waingapu,ID,2022-09-27 20:51:18,-9.6567,120.2641,76.51,81,70,1.81
269,Saiki,JP,2022-09-27 20:51:18,32.95,131.9,69.85,89,87,7.23
270,Pacific Grove,US,2022-09-27 20:50:46,36.6177,-121.9166,78.22,77,0,11.99
271,Cherskiy,RU,2022-09-27 20:51:19,68.75,161.3,26.02,73,9,3.87
272,Khartoum,SD,2022-09-27 20:51:19,15.5518,32.5324,92.57,30,89,12.12
273,Shakhovskaya,RU,2022-09-27 20:51:19,56.0283,35.5097,41.67,88,89,6.58
274,Udaipura,IN,2022-09-27 20:51:20,23.0833,78.5,76.6,82,94,1.03
275,Hamilton,US,2022-09-27 20:49:07,39.1834,-84.5333,65.98,40,75,14.97
276,Petropavlovsk-Kamchatskiy,RU,2022-09-27 20:52:20,53.0452,158.6483,41.59,100,75,4.47
277,Ancud,CL,2022-09-27 20:52:20,-41.8697,-73.8203,60.22,69,0,2.62
278,Trinidad,BO,2022-09-27 20:52:21,-14.8333,-64.9,89.58,62,75,3.44
279,Tshane,BW,2022-09-27 20:52:21,-24.0196,21.8684,77.63,19,94,8.34
280,Chokurdakh,RU,2022-09-27 20:52:21,70.6333,147.9167,21.76,88,100,7.09
281,Waipawa,NZ,2022-09-27 20:52:21,-41.4122,175.5153,53.22,65,63,5.79
282,Broken Hill,AU,2022-09-27 20:48:17,-31.95,141.4333,46.2,89,10,16.44
283,Camacha,PT,2022-09-27 20:52:22,33.0833,-16.3333,67.42,64,40,10.36
284,Daru,PG,2022-09-27 20:52:22,-9.0763,143.2092,79.63,87,100,10.51
285,Lakselv,NO,2022-09-27 20:52:23,70.0513,24.9718,44.42,81,100,3.44
286,Sao Joaquim,BR,2022-09-27 20:52:23,-28.2939,-49.9317,54.3,88,100,6.53
287,Urusha,RU,2022-09-27 20:52:23,54.05,122.9,24.37,93,6,4.97
288,Salinas,US,2022-09-27 20:52:23,36.6777,-121.6555,85.01,62,0,5.75
289,Stornoway,GB,2022-09-27 20:52:24,58.2093,-6.3865,46.36,91,75,9.22
290,Lompoc,US,2022-09-27 20:52:24,34.6391,-120.4579,88.7,78,100,12.66
291,Watertown,US,2022-09-27 20:49:12,42.3709,-71.1828,74.34,40,40,19.57
292,Houston,US,2022-09-27 20:50:03,29.7633,-95.3633,92.3,30,0,13.8
